"lon" "lat" "lm"
"741" -159.5 87.5 0
"742" -158.5 87.5 0
"743" -157.5 87.5 0
"744" -156.5 87.5 0
"745" -155.5 87.5 0
"746" -154.5 87.5 0
"747" -153.5 87.5 0
"748" -152.5 87.5 0
"749" -151.5 87.5 0
"750" -150.5 87.5 0
"751" -149.5 87.5 0
"752" -148.5 87.5 0
"753" -147.5 87.5 0
"754" -146.5 87.5 0
"755" -145.5 87.5 0
"756" -144.5 87.5 0
"757" -143.5 87.5 0
"758" -142.5 87.5 0
"759" -141.5 87.5 0
"760" -140.5 87.5 0
"761" -139.5 87.5 0
"762" -138.5 87.5 0
"763" -137.5 87.5 0
"764" -136.5 87.5 0
"765" -135.5 87.5 0
"766" -134.5 87.5 0
"767" -133.5 87.5 0
"768" -132.5 87.5 0
"769" -131.5 87.5 0
"770" -130.5 87.5 0
"771" -129.5 87.5 0
"772" -128.5 87.5 0
"773" -127.5 87.5 0
"774" -126.5 87.5 0
"775" -125.5 87.5 0
"776" -124.5 87.5 0
"777" -123.5 87.5 0
"778" -122.5 87.5 0
"779" -121.5 87.5 0
"780" -120.5 87.5 0
"781" -119.5 87.5 0
"782" -118.5 87.5 0
"783" -117.5 87.5 0
"784" -116.5 87.5 0
"785" -115.5 87.5 0
"786" -114.5 87.5 0
"787" -113.5 87.5 0
"788" -112.5 87.5 0
"789" -111.5 87.5 0
"790" -110.5 87.5 0
"791" -109.5 87.5 0
"792" -108.5 87.5 0
"793" -107.5 87.5 0
"794" -106.5 87.5 0
"795" -105.5 87.5 0
"796" -104.5 87.5 0
"797" -103.5 87.5 0
"798" -102.5 87.5 0
"799" -101.5 87.5 0
"800" -100.5 87.5 0
"801" -99.5 87.5 0
"802" -98.5 87.5 0
"803" -97.5 87.5 0
"804" -96.5 87.5 0
"805" -95.5 87.5 0
"806" -94.5 87.5 0
"807" -93.5 87.5 0
"808" -92.5 87.5 0
"809" -91.5 87.5 0
"810" -90.5 87.5 0
"811" -89.5 87.5 0
"812" -88.5 87.5 0
"813" -87.5 87.5 0
"814" -86.5 87.5 0
"815" -85.5 87.5 0
"816" -84.5 87.5 0
"817" -83.5 87.5 0
"818" -82.5 87.5 0
"819" -81.5 87.5 0
"820" -80.5 87.5 0
"821" -79.5 87.5 0
"822" -78.5 87.5 0
"823" -77.5 87.5 0
"824" -76.5 87.5 0
"825" -75.5 87.5 0
"826" -74.5 87.5 0
"827" -73.5 87.5 0
"828" -72.5 87.5 0
"829" -71.5 87.5 0
"830" -70.5 87.5 0
"831" -69.5 87.5 0
"832" -68.5 87.5 0
"833" -67.5 87.5 0
"834" -66.5 87.5 0
"835" -65.5 87.5 0
"836" -64.5 87.5 0
"837" -63.5 87.5 0
"838" -62.5 87.5 0
"839" -61.5 87.5 0
"840" -60.5 87.5 0
"841" -59.5 87.5 0
"842" -58.5 87.5 0
"843" -57.5 87.5 0
"844" -56.5 87.5 0
"845" -55.5 87.5 0
"846" -54.5 87.5 0
"847" -53.5 87.5 0
"848" -52.5 87.5 0
"849" -51.5 87.5 0
"850" -50.5 87.5 0
"851" -49.5 87.5 0
"852" -48.5 87.5 0
"853" -47.5 87.5 0
"854" -46.5 87.5 0
"855" -45.5 87.5 0
"856" -44.5 87.5 0
"857" -43.5 87.5 0
